"year","state_abbr","state_name","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","rape"
1980,"MO","Missouri",4901288,27177,544,10958,14075,239115,81798,136998,20319,1600
1980,"MS","Mississippi",2511491,8588,365,2035,5569,77234,29612,43142,4480,619
1980,"MT","Montana",781592,1740,31,266,1279,37531,7430,27587,2514,164
1980,"NC","North Carolina",5843665,26589,619,4810,19836,244585,83150,148804,12631,1324
1980,"ND","North Dakota",652437,352,8,50,232,18984,3186,14629,1169,62
1980,"NE","Nebraska",1563921,3512,69,1286,1794,63818,14316,45692,3810,363
1980,"NH","New Hampshire",919114,1653,23,386,1085,41358,12067,26443,2848,159
1980,"NJ","New Jersey",7342164,44373,504,22299,19313,425623,137900,234160,53563,2257
1980,"NM","New Mexico",1295474,7967,170,1657,5579,69490,19335,45613,4542,561
1980,"NV","Nevada",800312,7304,160,3686,2920,63556,23263,34864,5429,538
1980,"NY","New York",17506690,180235,2228,112273,60329,1029749,360925,535783,133041,5405
1980,"OH","Ohio",10766808,53646,871,24082,24997,531141,157874,327322,45945,3696
1980,"OK","Oklahoma",3001252,12589,299,3147,8055,139061,50802,75649,12610,1088
1980,"OR","Oregon",2610477,12802,132,3978,7608,161759,45641,106712,9406,1084
1980,"PA","Pennsylvania",11824220,43032,809,21039,18462,398761,122800,226496,49465,2722
1980,"RI","Rhode Island",945835,3864,42,1122,2538,52249,16233,28037,7979,162
1980,"SC","South Carolina",3064557,20225,348,3620,15109,146461,51177,85905,9379,1148
1980,"SD","South Dakota",688217,873,5,138,644,21447,4766,15521,1160,86
1980,"TN","Tennessee",4545590,20824,489,8208,10427,183632,68251,98876,16505,1700
1980,"TX","Texas",14169829,77978,2392,29547,39339,792480,262600,450792,79088,6700
1980,"UT","Utah",1458729,4425,55,1170,2796,81357,19283,57354,4720,404
1980,"VA","Virginia",5323412,16355,459,6392,8046,229587,64020,153437,12130,1458
1980,"VT","Vermont",511299,914,11,199,555,24592,7806,15278,1508,149
1980,"WA","Washington",4113331,19098,225,5558,11146,265338,76598,172468,16272,2169
1980,"WI","Wisconsin",4680917,8546,136,3310,4403,216073,50524,154070,11479,697
1980,"WV","West Virginia",1930787,3547,138,936,2167,45719,14258,27606,3855,306
1980,"WY","Wyoming",468954,1841,29,208,1470,21543,4238,15686,1619,134
1981,"AK","Alaska",412000,2537,60,472,1584,24634,5479,16310,2845,421
1981,"AL","Alabama",3916000,18423,465,4952,11985,173411,56811,105471,11129,1021
1981,"AR","Arkansas",2294000,7119,209,1776,4557,79972,24732,50959,4281,577
1981,"AZ","Arizona",2793000,16082,227,4961,9830,196575,57655,127469,11451,1064
1981,"CA","California",24159000,208485,3143,93781,97995,1625302,540806,921939,162557,13566
1981,"CO","Colorado",2963000,15755,239,4726,9438,202119,60197,129658,12264,1352
1981,"CT","Connecticut",3132000,14033,168,7709,5469,168790,52990,96927,18873,687
1981,"DC","District of Columbia",636000,14468,223,10399,3432,53442,16832,32845,3765,414
1981,"DE","Delaware",598000,3044,40,844,1990,36958,9627,24759,2572,170
1981,"FL","Florida",10166000,98109,1522,35473,55407,718470,241536,431222,45712,5707
1981,"GA","Georgia",5569000,30527,960,10938,16267,282926,93121,171170,18635,2362
1981,"HI","Hawaii",979000,2424,47,1453,584,61636,16726,40699,4211,340
1981,"IA","Iowa",2897000,5915,76,1554,3896,130723,30925,93333,6465,389
1981,"ID","Idaho",959000,2717,43,362,2114,40733,11255,27423,2055,198
1981,"IL","Illinois",11455000,90781,1205,42752,43108,609767,173142,366696,69929,3716
1981,"IN","Indiana",5466000,18672,388,7050,9618,229472,63887,147038,18547,1616
1981,"KS","Kansas",2381000,8796,151,2611,5301,119880,36768,77039,6073,733
1981,"KY","Kentucky",3661000,10599,308,3687,5838,118690,38893,71194,8603,766
1981,"LA","Louisiana",4305000,27478,673,8698,16325,199295,61756,121955,15584,1782
1981,"MA","Massachusetts",5770000,36273,210,15633,18850,300428,95080,147691,57657,1580
1981,"MD","Maryland",4261000,37800,421,18085,17640,241625,70740,152405,18480,1654
1981,"ME","Maine",1132000,2214,36,368,1665,45820,14081,29545,2194,145
1981,"MI","Michigan",9201000,59058,861,23688,30143,571582,171331,341805,58446,4366
1981,"MN","Minnesota",4090000,9344,85,4266,3937,184387,52253,121834,10300,1056
1981,"MO","Missouri",4938000,26675,516,10629,14065,237575,78173,140567,18835,1465
1981,"MS","Mississippi",2530000,7706,319,2059,4670,81789,29614,47587,4588,658
1981,"MT","Montana",792000,2004,27,302,1500,37746,7651,27874,2221,175
1981,"NC","North Carolina",5951000,25986,541,4809,19285,243012,79545,151679,11788,1351
1981,"ND","North Dakota",658000,444,15,85,287,19237,3294,14859,1084,57
1981,"NE","Nebraska",1576000,2861,49,1115,1374,62977,14383,45324,3270,323
1981,"NH","New Hampshire",935000,1375,27,335,859,39034,11090,25692,2252,154
1981,"NJ","New Jersey",7401000,46674,542,24761,18997,410693,128274,231846,50573,2374
1981,"NM","New Mexico",1327000,8913,151,1868,6266,73369,21405,47252,4712,628
1981,"NV","Nevada",845000,7575,148,3870,3009,65027,23046,36955,5026,548
1981,"NY","New York",17594000,188178,2166,120344,60189,1026757,350422,539486,136849,5479
1981,"OH","Ohio",10776000,53509,799,25529,23842,533498,160951,326770,45777,3339
1981,"OK","Oklahoma",3098000,13223,279,3574,8279,136637,49220,74460,12957,1091
1981,"OR","Oregon",2647000,12671,117,4780,6669,173596,52067,112518,9011,1105
1981,"PA","Pennsylvania",11864000,44104,729,22137,18576,392872,122372,226701,43799,2662
1981,"RI","Rhode Island",952000,4205,40,1257,2738,51504,15755,27525,8224,170
1981,"SC","South Carolina",3166000,20275,330,3805,14992,148127,50520,88887,8720,1148
1981,"SD","South Dakota",685000,718,12,122,505,19922,4348,14587,987,79
1981,"TN","Tennessee",4610000,19019,448,7916,8920,179737,63811,100526,15400,1735
1981,"TX","Texas",14755000,78560,2446,28528,40765,814163,275978,454879,83306,6821
1981,"UT","Utah",1516000,4527,50,1286,2760,82643,19326,58855,4462,431
1981,"VA","Virginia",5426000,17456,464,7229,8285,235984,63350,161678,10956,1478
1981,"VT","Vermont",515000,659,22,142,325,25404,8033,15860,1511,170
1981,"WA","Washington",4212000,18839,213,5475,11036,265135,79696,171994,13445,2115
1981,"WI","Wisconsin",4739000,8904,161,3249,4749,216997,50813,155892,10292,745
1981,"WV","West Virginia",1951000,3410,118,979,2024,47681,15122,28884,3675,289
1981,"WY","Wyoming",492000,2116,27,206,1709,23133,4728,16972,1433,174
1982,"AK","Alaska",438000,2732,81,586,1691,24479,5204,16672,2603,374
1982,"AL","Alabama",3943000,17653,417,4417,11793,165048,49531,104740,10777,1026
1982,"AR","Arkansas",2291000,7438,187,1805,4824,81259,24547,52450,4262,622
1982,"AZ","Arizona",2860000,14785,236,4537,8912,189161,53861,124723,10577,1100
1982,"CA","California",24724000,201429,2779,91988,94133,1599827,499466,935831,164530,12529
1982,"CO","Colorado",3045000,15354,182,4587,9229,200230,53260,134873,12097,1356
1982,"CT","Connecticut",3153000,12597,164,6574,5167,158532,44481,96640,17411,692
1982,"DC","District of Columbia",631000,13397,194,9137,3645,52295,14774,33435,4086,421
1982,"DE","Delaware",602000,3370,32,737,2415,35067,8698,23891,2478,186
1982,"FL","Florida",10416000,93411,1409,31002,55413,684166,211932,427462,44772,5587
1982,"GA","Georgia",5639000,26963,713,8716,15292,267097,84469,165049,17579,2242
1982,"HI","Hawaii",994000,2542,31,1560,609,62906,16477,42248,4181,342
1982,"IA","Iowa",2905000,5018,67,1051,3538,115148,27535,82568,5045,362
1982,"ID","Idaho",965000,2501,24,292,2025,36902,9958,25256,1688,160
1982,"IL","Illinois",11448000,88644,1005,39700,44515,579954,157273,354106,68575,3424
1982,"IN","Indiana",5471000,16444,355,5966,8602,225894,59569,148454,17871,1521
1982,"KS","Kansas",2408000,8088,138,2095,5259,111156,32382,73416,5358,596
1982,"KY","Kentucky",3667000,11550,355,3568,6893,119304,37736,73020,8548,734
1982,"LA","Louisiana",4362000,29185,698,9275,17472,202489,62151,125701,14637,1740
1982,"MA","Massachusetts",5781000,33031,219,12359,18989,285140,82212,146933,55995,1464
1982,"MD","Maryland",4265000,36254,432,15377,18849,220174,60547,142903,16724,1596
1982,"ME","Maine",1133000,1847,24,345,1326,41884,11862,27863,2159,152
1982,"MI","Michigan",9109000,59806,827,24699,30034,558195,165155,330031,63009,4246
1982,"MN","Minnesota",4133000,9062,95,4188,3841,175048,48855,116375,9818,938
1982,"MO","Missouri",4951000,25078,479,9554,13762,219888,68881,134383,16624,1283
1982,"MS","Mississippi",2551000,7515,358,1863,4619,83622,30200,49504,3918,675
1982,"MT","Montana",801000,1801,31,265,1386,32908,6759,24079,2070,119
1982,"NC","North Carolina",6019000,26865,545,5168,19830,246593,78787,156701,11105,1322
1982,"ND","North Dakota",670000,414,5,85,258,17328,3074,13314,940,66
1982,"NE","Nebraska",1586000,3641,31,982,2299,59019,12867,43331,2821,329
1982,"NH","New Hampshire",951000,1187,21,322,690,35229,8987,24115,2127,154
1982,"NJ","New Jersey",7438000,45175,482,22880,19664,377016,106418,223978,46620,2149
1982,"NM","New Mexico",1359000,9982,158,1715,7453,79816,22135,53402,4279,656
1982,"NV","Nevada",881000,7096,120,3697,2737,62512,21256,36279,4977,542
1982,"NY","New York",17659000,174833,2013,107843,59818,967369,295245,534244,137880,5159
